VSL_IMO_NUMBER,VSL_NAME,Average of BL Cons,BASE LINE BL Port FOC (MT/DAY),Count of Type,Average of Tsw,Type,Primary Manager,Potential,Count of VSL_IMO_NUMBER
9395094,CMA CGM Arica,1.737282744042291,1,32,28.125,Container Ship,DE SMC,-1920.5667621531047,32
9326407,Wan Hai 507,1.737471103386038,1.5,27,26.666666666666668,Container Ship,CN SMC,-24846.266644677737,27
9958523,CUL Qingdao,1.7474063337152779,1,10,23.3,Container Ship,CN SMC,-1821.9120976896363,10
9532549,Ore Shandong,1.747828952656539,1.023,13,18.307692307692307,Bulk Carrier,IN SMC,-13071.013584117032,13
9529451,Nordic Odyssey,1.7519488061897175,0.91,27,11.296296296296296,Bulk Carrier,CYP SMC,-8422.95859521804,27
9406465,London Courage,1.7520437254177883,0.68,25,22.2,Bulk Carrier,IN SMC,-22356.921706203364,25
9535149,Hedwig Schulte,1.7631017659784567,1.5,25,25.8,Container Ship,IN SMC,-9392.501092183687,25
9362970,Baosteel Education,1.7632365587400165,0.8,25,23.92,Bulk Carrier,IN SMC,-19646.20352131401,25
9713076,True North,1.7788888888888887,1.02,12,22.333333333333332,Bulk Carrier,SG SMC,-14701.333333333334,12
9743617,Spirit Of Seatrek,1.791425975810186,0.84,47,22.574468085106382,Bulk Carrier,SG SMC,-48875.04821157988,47
9890927,Nord Miyako,1.794698972178733,1.5,14,30.928571428571427,Tanker,SG SMC,-9027.192978427855,14
9303417,Lv Lizzy,1.7981501595439409,1.377,27,22.14814814814815,Tanker,SG SMC,-37408.31095630777,27
9595606,NGM Honor,1.801818181818182,1.08,33,18.454545454545453,Bulk Carrier,GR SMC,-17728,33
9660578,Anglo Red,1.8042403416605315,0.7,19,26.263157894736842,Bulk Carrier,CYP SMC,-19208.509905690233,19
9392391,Jose Progress,1.8108137762596725,1.2,14,17.857142857142858,Tanker,SG SMC,-45230.19508859137,14
9623673,RDO Fortune,1.8121583500744876,1.3,30,21.433333333333334,Container Ship,DE SMC,6903.248404926677,30
9635688,SFL Maui,1.8184408059474817,1.7,23,20.695652173913043,Container Ship,SG SMC,29534.623865964135,23
9301433,CMA CGM Malta,1.8253260096371777,1,31,25.741935483870968,Container Ship,DE SMC,-24027.20767551797,31
9698642,San Fernando,1.8268043110413898,5,15,26.933333333333334,Container Ship,SG SMC,-6699.460455156564,15
9531909,Hans Schulte,1.8275117987216893,1.5,41,29.048780487804876,Container Ship,IN SMC,-91119.06945713471,41
9546813,United Dignity,1.8280748082180254,1.092,20,25.8,Bulk Carrier,IN SMC,-19236.627879067477,20
